Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giá/m2,Năm,Tháng,Ngày,Ngày/Tháng/Năm
"Đường Tựu Liệt, Thị trấn Văn Điển, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Thị trấn Văn Điển,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,35 m²,12 m,3.5 m,"45,71 triệu/m²",2020,8,5,5/8/2020
"Đường Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,30 m²,12 m,3.5 m,"83,33 triệu/m²",2020,8,5,5/8/2020
"Đường Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,52 m²,13 m,4 m,"93,27 triệu/m²",2020,8,5,5/8/2020
"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,50 m²,13 m,5 m,86 triệu/m²,2020,8,5,5/8/2020
"Đường Đê Trần Khát Chân, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,52.8 m²,15.2 m,3.9 m,75 triệu/m²,2020,8,5,5/8/2020
"Đường Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,52 m²,12 m,4.2 m,"93,27 triệu/m²",2020,8,5,5/8/2020
"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,30 m²,12 m,4.2 m,75 triệu/m²,2020,8,5,5/8/2020
"Đường Phúc Tân, Phường Phúc Tân, Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Phường Phúc Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,7,nhiều hơn 10 phòng,165 m²,12 m,5 m,"103,03 triệu/m²",2020,8,5,5/8/2020
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Gia Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,2,3 phòng,70 m²,12 m,5.3 m,"102,86 triệu/m²",2020,8,4,4/8/2020
"Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,34 m²,12 m,5.3 m,"82,35 triệu/m²",2020,8,4,4/8/2020
"Đường Phương Canh, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,32 m²,12 m,7 m,"51,56 triệu/m²",2020,8,4,4/8/2020
"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,5,6 phòng,65 m²,12 m,4.5 m,"75,38 triệu/m²",2020,8,4,4/8/2020
"Đường Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,45 m²,12 m,4 m,"64,44 triệu/m²",2020,8,4,4/8/2020
"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Xuân La,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4 phòng,79 m²,12 m,8 m,"112,66 triệu/m²",2020,8,4,4/8/2020
"Đường Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5 phòng,90 m²,18 m,5 m,"108,89 triệu/m²",2020,8,4,4/8/2020
"Đường Đồng Me, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,73 m²,18 m,5 m,"106,85 triệu/m²",2020,8,4,4/8/2020
"Đường Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,4,6 phòng,52 m²,18 m,5 m,250 triệu/m²,2020,8,4,4/8/2020
"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,8 phòng,40 m²,18 m,5 m,"107,5 triệu/m²",2020,8,4,4/8/2020
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,45 m²,12 m,4.2 m,"133,33 triệu/m²",2020,8,4,4/8/2020
"180/61/5, Đường Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Tây Mỗ,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,32 m²,6.6 m,4.5 m,"60,94 triệu/m²",2020,8,4,4/8/2020
"Đường Núi Trúc, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Ngọc Khánh,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,18 m²,6.6 m,3.1 m,"69,44 triệu/m²",2020,8,4,4/8/2020
"Đường Tô Hiệu, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4 phòng,42 m²,6.6 m,3.1 m,"83,81 triệu/m²",2020,8,4,4/8/2020
"Đường Ngọc Trục, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Đại Mỗ,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3 phòng,42 m²,10 m,4.5 m,"58,33 triệu/m²",2020,8,4,4/8/2020
"Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,45 m²,10 m,3 m,"95,56 triệu/m²",2020,8,4,4/8/2020
"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",Đã có sổ,3,2 phòng,42 m²,11 m,4 m,"29,76 triệu/m²",2020,8,4,4/8/2020
"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3 phòng,46 m²,9 m,5 m,"80,43 triệu/m²",2020,8,4,4/8/2020
"Đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,42 m²,9 m,4.5 m,"361,9 triệu/m²",2020,8,4,4/8/2020
"Đường Vĩnh Quỳnh, Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,43 m²,11 m,4 m,50 triệu/m²,2020,8,4,4/8/2020
"Đội Cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,25 m²,11 m,4.3 m,96 triệu/m²,2020,8,4,4/8/2020
"Đường Phố Vọng, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,45 m²,11 m,4.3 m,"51,11 triệu/m²",2020,8,4,4/8/2020
"Đường Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,35 m²,11 m,4 m,"80,86 triệu/m²",2020,8,4,4/8/2020
"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,38 m²,10 m,3 m,"68,42 triệu/m²",2020,8,4,4/8/2020
"Ngách 6A, Đường Tả Thanh Oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,35 m²,9 m,4 m,"55,71 triệu/m²",2020,8,4,4/8/2020
"Đường Yên Vĩnh, Xã Kim Chung, Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,Xã Kim Chung,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,49 m²,9 m,4 m,"36,73 triệu/m²",2020,8,4,4/8/2020
"4, Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,33 m²,9 m,4 m,"80,3 triệu/m²",2020,8,4,4/8/2020
"Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,38 m²,9 m,4 m,"73,68 triệu/m²",2020,8,4,4/8/2020
"Đường Lĩnh Nam, Phường Mai Động, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Mai Động,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,32 m²,9 m,4 m,"96,88 triệu/m²",2020,8,4,4/8/2020
"Đường Tôn Thất Tùng, Phường Trung Tự, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,120 m²,9 m,7 m,125 triệu/m²,2020,8,4,4/8/2020
"văn phu, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,Nhà biệt thự,Đang chờ sổ,3,5 phòng,200 m²,22 m,9 m,"47,25 triệu/m²",2020,8,4,4/8/2020
"Đường Núi Trúc, Phường Trúc Bạch, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Trúc Bạch,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,18 m²,22 m,9 m,"69,44 triệu/m²",2020,8,4,4/8/2020
"88, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,47 m²,22 m,9 m,"57,45 triệu/m²",2020,8,4,4/8/2020
"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,8,7 phòng,55 m²,22 m,9 m,"309,09 triệu/m²",2020,8,4,4/8/2020
"đức giang, Phường Đức Giang, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Đức Giang,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,36 m²,22 m,9 m,"61,67 triệu/m²",2020,8,4,4/8/2020
"Đường Nguyễn Cơ Thạch, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,50 m²,22 m,5 m,130 triệu/m²,2020,8,4,4/8/2020
"Đường Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,51 m²,6.6 m,3.5 m,"62,75 triệu/m²",2020,8,4,4/8/2020
"Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,Nhà phố liền kề,Đã có sổ,4,4 phòng,32 m²,6.6 m,3 m,"56,25 triệu/m²",2020,8,4,4/8/2020
"Đường Chùa Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,6,nhiều hơn 10 phòng,70 m²,17 m,4 m,"114,29 triệu/m²",2020,8,4,4/8/2020
"Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,42 m²,17 m,4 m,"105,95 triệu/m²",2020,8,4,4/8/2020
"tả thanh oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,30 m²,10 m,3 m,"61,67 triệu/m²",2020,8,4,4/8/2020
"Đường Xã Đàn 2, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,30 m²,10 m,3 m,50 triệu/m²,2020,8,4,4/8/2020
"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,40 m²,10 m,3 m,"98,75 triệu/m²",2020,8,4,4/8/2020
"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,36 m²,9 m,4 m,"59,72 triệu/m²",2020,8,4,4/8/2020
"Đường Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,30 m²,9 m,4 m,"91,67 triệu/m²",2020,8,4,4/8/2020
"Đường Đền Lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,5,9 phòng,77 m²,17 m,4 m,"2,08 triệu/m²",2020,8,4,4/8/2020
"Đường Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,34 m²,17 m,4 m,"120,59 triệu/m²",2020,8,4,4/8/2020
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đang chờ sổ,4,3 phòng,27 m²,17 m,4 m,"72,22 triệu/m²",2020,8,4,4/8/2020
"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đang chờ sổ,4,3 phòng,34 m²,8.5 m,4 m,"104,41 triệu/m²",2020,8,4,4/8/2020
"Đường Gốc Đề, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,40 m²,8.5 m,4 m,65 triệu/m²,2020,8,4,4/8/2020
"Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,30 m²,9 m,3.4 m,"82,67 triệu/m²",2020,8,4,4/8/2020
"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,9 m,3.4 m,"114,29 triệu/m²",2020,8,4,4/8/2020
"Đường Đê Trần Khát Chân, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,18 m²,6 m,3.2 m,"105,56 triệu/m²",2020,8,4,4/8/2020
"Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,33 m²,11 m,3 m,"136,36 triệu/m²",2020,8,4,4/8/2020
"Đường Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,60 m²,11 m,3 m,225 triệu/m²,2020,8,4,4/8/2020
"Lĩnh nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,30 m²,11 m,3 m,75 triệu/m²,2020,8,4,4/8/2020
"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,32 m²,8 m,4 m,"81,25 triệu/m²",2020,8,4,4/8/2020
"Đường Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,40 m²,8 m,4 m,"77,5 triệu/m²",2020,8,4,4/8/2020
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,32 m²,11 m,3.2 m,"89,06 triệu/m²",2020,8,4,4/8/2020
"Xuân Đinh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,81 m²,22.5 m,3.6 m,"39,51 triệu/m²",2020,8,4,4/8/2020
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,20 m²,6.5 m,3 m,"97,5 triệu/m²",2020,8,4,4/8/2020
"Đường Phú Đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Phú Đô,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,54 m²,6.5 m,3 m,"101,85 triệu/m²",2020,8,4,4/8/2020
"Đường Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,60 m²,6.5 m,3 m,"109,17 triệu/m²",2020,8,4,4/8/2020
"Đường Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,40 m²,6.5 m,3 m,"68,75 triệu/m²",2020,8,4,4/8/2020
"1, Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Quan Hoa,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3 phòng,45 m²,6.5 m,3 m,"133,33 triệu/m²",2020,8,4,4/8/2020
"Nguyễn Thái Học, Thị trấn Phùng, Huyện Đan Phượng, Hà Nội",Huyện Đan Phượng,Thị trấn Phùng,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,40 m²,6.5 m,3 m,"36,25 triệu/m²",2020,8,4,4/8/2020
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đang chờ sổ,4,3 phòng,28 m²,6.5 m,3 m,70 triệu/m²,2020,8,4,4/8/2020
"Đường Đê La Thành, Phường Kim Liên, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,28 m²,7 m,3.9 m,100 triệu/m²,2020,8,4,4/8/2020
"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3 phòng,40 m²,7 m,3.9 m,"136,25 triệu/m²",2020,8,4,4/8/2020
"Đường Đức Diễn, Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Phúc Diễn,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,42 m²,7 m,3.25 m,"67,86 triệu/m²",2020,8,4,4/8/2020
"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,32 m²,7 m,4 m,"84,38 triệu/m²",2020,8,4,4/8/2020
"Đường Trung Phụng, Phường Trung Phụng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,55 m²,7 m,4 m,"54,55 triệu/m²",2020,8,4,4/8/2020
"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,38 m²,7 m,4 m,"65,79 triệu/m²",2020,8,4,4/8/2020
"Đường Đền Lừ 1, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4 phòng,38 m²,9.5 m,4 m,"131,58 triệu/m²",2020,8,4,4/8/2020
"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5 phòng,49 m²,20 m,53 m,"80,61 triệu/m²",2020,8,4,4/8/2020
"Đường Hàm Nghi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Cầu Diễn,Nhà phố liền kề,Đã có sổ,5,4 phòng,113 m²,20 m,8 m,247.787 đ/m²,2020,8,4,4/8/2020
"Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,55 m²,9.2 m,6 m,60 triệu/m²,2020,8,4,4/8/2020
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3 phòng,30 m²,4 m,7.55 m,"118,33 triệu/m²",2020,8,4,4/8/2020
"Văn Phú, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,3,2 phòng,37 m²,10 m,3.7 m,"53,51 triệu/m²",2020,8,4,4/8/2020
"Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,76 m²,10 m,3.7 m,"61,18 triệu/m²",2020,8,4,4/8/2020
"Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Trung Văn,"Nhà ngõ, hẻm",Đã có sổ,1,1 phòng,45 m²,10 m,4.5 m,"71,11 triệu/m²",2020,8,4,4/8/2020
"Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,62 m²,10 m,4.5 m,"125,81 triệu/m²",2020,8,4,4/8/2020
